Description,Designator,Quantity,LCSC

"CAPACITOR,CERAMIC,4u7,16V,X5R,0603","C1, C4, C7, C11, C16, C19, C23, C26, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39","18","C19666"
"CAPACITOR,CERAMIC,100nF,50V,X7R,0603","C2, C3, C5, C6, C8, C9, C10, C12, C13, C14, C15, C17, C18, C20, C21, C22, C24, C25, C27, C28, C29, C40","22","C14663"
"DIODE,75V,215mA,SOT23,LOW LEAKAGE","D1, D3, D14","3","C2500"
"DIODE,SCHOTTKY,40V,1,B5819,SOD123","D2","1","C8598"
"DIODE,TVS,DUAL,NIDIRETIONAL,USB,PESD2USB5UX-TR,SOT23","D4","1","C3709087"
"LED,SMD,WHITE,42mCd,0603","D5, D6_PCAL0, D6_PCAL1, D6_PORTA, D6_PORTB, D6_PORTC, D6_PORTD, D6_PORTE, D6_PORTF, D6_PORTG, D7_PCAL0, D7_PCAL1, D7_PORTA, D7_PORTB, D7_PORTC, D7_PORTD, D7_PORTE, D7_PORTF, D7_PORTG, D8_PCAL0, D8_PCAL1, D8_PORTA, D8_PORTB, D8_PORTC, D8_PORTD, D8_PORTE, D8_PORTF, D8_PORTG, D9_PCAL0, D9_PCAL1, D9_PORTA, D9_PORTB, D9_PORTC, D9_PORTD, D9_PORTE, D9_PORTF, D9_PORTG, D10_PCAL0, D10_PCAL1, D10_PORTA, D10_PORTB, D10_PORTC, D10_PORTD, D10_PORTE, D10_PORTF, D10_PORTG, D11_PCAL0, D11_PCAL1, D11_PORTA, D11_PORTB, D11_PORTC, D11_PORTD, D11_PORTE, D11_PORTF, D11_PORTG, D12_PCAL0, D12_PCAL1, D12_PORTA, D12_PORTB, D12_PORTC, D12_PORTD, D12_PORTE, D12_PORTF, D12_PORTG, D13_PCAL0, D13_PCAL1, D13_PORTA, D13_PORTB, D13_PORTC, D13_PORTD, D13_PORTE, D13_PORTF, D13_PORTG","73","C2290"
"IND,4u7H,0.6A,0603, LLQM18PN4R7MFRL","L1","1","C114862"
"XSTR,PMOS,30V,4A,AO3401,SOT23","Q1","1","C15127"
"RESISTOR,1K,1%,100mW,0603 (1608)","R1, R2, R11, R13, R14, R42, R43, R45","8","C21190"
"RESISTOR,4K7,1%,100mW,0603 (1608)","R3, R4, R5, R6, R7, R8, R9, R30_PCAL0, R30_PCAL1, R30_PORTA, R30_PORTB, R30_PORTC, R30_PORTD, R30_PORTE, R30_PORTF, R30_PORTG, R31_PCAL0, R31_PCAL1, R31_PORTA, R31_PORTB, R31_PORTC, R31_PORTD, R31_PORTE, R31_PORTF, R31_PORTG, R32_PCAL0, R32_PCAL1, R32_PORTA, R32_PORTB, R32_PORTC, R32_PORTD, R32_PORTE, R32_PORTF, R32_PORTG, R33_PCAL0, R33_PCAL1, R33_PORTA, R33_PORTB, R33_PORTC, R33_PORTD, R33_PORTE, R33_PORTF, R33_PORTG, R34_PCAL0, R34_PCAL1, R34_PORTA, R34_PORTB, R34_PORTC, R34_PORTD, R34_PORTE, R34_PORTF, R34_PORTG, R35_PCAL0, R35_PCAL1, R35_PORTA, R35_PORTB, R35_PORTC, R35_PORTD, R35_PORTE, R35_PORTF, R35_PORTG, R36_PCAL0, R36_PCAL1, R36_PORTA, R36_PORTB, R36_PORTC, R36_PORTD, R36_PORTE, R36_PORTF, R36_PORTG, R37_PCAL0, R37_PCAL1, R37_PORTA, R37_PORTB, R37_PORTC, R37_PORTD, R37_PORTE, R37_PORTF, R37_PORTG","79","C23162"
"RESISTOR,470R,1%,100mW,0603 (1608)","R10, R12, R16, R19, R20, R21, R39, R40, R41, R47","10","C23179"
"RESISTOR,18K,1%,100mW,0603 (1608)","R15","1","C25810"
"RESISTOR,10K,1%,100mW,0603 (1608)","R17, R18, R22_PCAL0, R22_PCAL1, R22_PORTA, R22_PORTB, R22_PORTC, R22_PORTD, R22_PORTE, R22_PORTF, R22_PORTG, R23_PCAL0, R23_PCAL1, R23_PORTA, R23_PORTB, R23_PORTC, R23_PORTD, R23_PORTE, R23_PORTF, R23_PORTG, R24_PCAL0, R24_PCAL1, R24_PORTA, R24_PORTB, R24_PORTC, R24_PORTD, R24_PORTE, R24_PORTF, R24_PORTG, R25_PCAL0, R25_PCAL1, R25_PORTA, R25_PORTB, R25_PORTC, R25_PORTD, R25_PORTE, R25_PORTF, R25_PORTG, R26_PCAL0, R26_PCAL1, R26_PORTA, R26_PORTB, R26_PORTC, R26_PORTD, R26_PORTE, R26_PORTF, R26_PORTG, R27_PCAL0, R27_PCAL1, R27_PORTA, R27_PORTB, R27_PORTC, R27_PORTD, R27_PORTE, R27_PORTF, R27_PORTG, R28_PCAL0, R28_PCAL1, R28_PORTA, R28_PORTB, R28_PORTC, R28_PORTD, R28_PORTE, R28_PORTF, R28_PORTG, R29_PCAL0, R29_PCAL1, R29_PORTA, R29_PORTB, R29_PORTC, R29_PORTD, R29_PORTE, R29_PORTF, R29_PORTG, R44","75","C25804"
"SWITCH,TACT,SMD,2PIN,SMT,TOP ACTUATOR","SW6, SW9_PCAL0, SW9_PCAL1, SW9_PORTA, SW9_PORTB, SW9_PORTC, SW9_PORTD, SW9_PORTE, SW9_PORTF, SW9_PORTG, SW10_PCAL0, SW10_PCAL1, SW10_PORTA, SW10_PORTB, SW10_PORTC, SW10_PORTD, SW10_PORTE, SW10_PORTF, SW10_PORTG, SW11_PCAL0, SW11_PCAL1, SW11_PORTA, SW11_PORTB, SW11_PORTC, SW11_PORTD, SW11_PORTE, SW11_PORTF, SW11_PORTG, SW12_PCAL0, SW12_PCAL1, SW12_PORTA, SW12_PORTB, SW12_PORTC, SW12_PORTD, SW12_PORTE, SW12_PORTF, SW12_PORTG, SW13_PCAL0, SW13_PCAL1, SW13_PORTA, SW13_PORTB, SW13_PORTC, SW13_PORTD, SW13_PORTE, SW13_PORTF, SW13_PORTG, SW14_PCAL0, SW14_PCAL1, SW14_PORTA, SW14_PORTB, SW14_PORTC, SW14_PORTD, SW14_PORTE, SW14_PORTF, SW14_PORTG, SW15_PCAL0, SW15_PCAL1, SW15_PORTA, SW15_PORTB, SW15_PORTC, SW15_PORTD, SW15_PORTE, SW15_PORTF, SW15_PORTG, SW16_PCAL0, SW16_PCAL1, SW16_PORTA, SW16_PORTB, SW16_PORTC, SW16_PORTD, SW16_PORTE, SW16_PORTF, SW16_PORTG","73","C720477"
"SWITCH,DIP,NOX8,SMD,2.54","SW17_PCAL0, SW17_PCAL1, SW17_PORTA, SW17_PORTB, SW17_PORTC, SW17_PORTD, SW17_PORTE, SW17_PORTF, SW17_PORTG, SW18_PCAL0, SW18_PCAL1, SW18_PORTA, SW18_PORTB, SW18_PORTC, SW18_PORTD, SW18_PORTE, SW18_PORTF, SW18_PORTG","18","C319032"
"IC,CPU,ATMEL,AVR64DA64,TQFP64","U1","1","C5227841"
"IC,LOGIC,SINGLEGATE,DUAL SCHMITT-TRIGER,INVERTER,SOT23-6","U2, U7","2","C19829598"
"IC,REG,BOOST,AEROSEMI,MT3608","U3","1","C84817"
"IC,XCVR,USB UART WITH XTAL AND EEPROM,WCH,CH340G-SO16","U4","1","CH340B"
"IC,ANALOG,SPDT ANALOG SWITCH,SINGLEGATE,TI,SN74LVC1G3157DBVR,SOT23-6","U5, U6","2","C2673494"
"I2C,16BIT AGILE I/O EXPANDER,INT,NEXPERIA,PCAL95555,TSSOP24","U8","1","C2669740"
